region,Date,AveragePrice
0,2017-06-04,1.63
0,2017-06-11,2.04
0,2017-06-18,2.03
0,2017-06-25,2.13
0,2017-07-02,2.03
0,2017-07-09,2.0
0,2017-07-16,1.87
0,2017-07-23,1.42
0,2017-07-30,1.67
0,2017-08-06,1.98
0,2017-08-13,1.9
0,2017-08-20,1.86
0,2017-08-27,1.91
0,2017-09-03,2.0
0,2017-09-10,1.78
0,2017-09-17,1.55
0,2017-09-24,1.42
0,2017-10-01,1.59
0,2017-10-08,1.4
0,2017-10-15,1.47
0,2017-10-22,1.49
0,2017-10-29,1.38
0,2017-11-05,1.5
0,2017-11-12,1.71
0,2017-11-19,1.75
0,2017-11-26,1.57
0,2017-12-03,1.44
0,2017-12-10,1.45
0,2017-12-17,1.43
0,2017-12-24,1.58
0,2017-12-31,1.46
0,2018-01-07,1.54
0,2018-01-14,1.47
0,2018-01-21,1.54
0,2018-01-28,1.32
0,2018-02-04,1.52
0,2018-02-11,1.43
0,2018-02-18,1.43
0,2018-02-25,1.56
0,2018-03-04,1.48
0,2018-03-11,1.68
0,2018-03-18,1.66
0,2018-03-25,1.71
1,2017-06-04,1.44
1,2017-06-11,1.06
1,2017-06-18,1.49
1,2017-06-25,1.31
1,2017-07-02,1.53
1,2017-07-09,1.61
1,2017-07-16,1.89
1,2017-07-23,1.85
1,2017-07-30,1.78
1,2017-08-06,1.97
1,2017-08-13,2.14
1,2017-08-20,2.18
1,2017-08-27,2.59
1,2017-09-03,2.59
1,2017-09-10,2.59
1,2017-09-17,2.54
1,2017-09-24,2.56
1,2017-10-01,2.75
1,2017-10-08,2.55
1,2017-10-15,2.23
1,2017-10-22,2.06
1,2017-10-29,2.04
1,2017-11-05,1.86
1,2017-11-12,1.8
1,2017-11-19,1.62
1,2017-11-26,1.66
1,2017-12-03,1.62
1,2017-12-10,1.63
1,2017-12-17,1.59
1,2017-12-24,1.59
1,2017-12-31,1.28
1,2018-01-07,1.53
1,2018-01-14,1.56
1,2018-01-21,1.64
1,2018-01-28,1.67
1,2018-02-04,1.62
1,2018-02-11,1.55
1,2018-02-18,1.56
1,2018-02-25,1.55
1,2018-03-04,1.66
1,2018-03-11,1.43
1,2018-03-18,1.48
1,2018-03-25,1.56
2,2017-06-04,2.15
2,2017-06-11,2.17
2,2017-06-18,2.2
2,2017-06-25,2.21
2,2017-07-02,2.2
2,2017-07-09,2.26
2,2017-07-16,1.57
2,2017-07-23,1.51
2,2017-07-30,1.6
2,2017-08-06,1.65
2,2017-08-13,1.66
2,2017-08-20,1.75
2,2017-08-27,1.82
2,2017-09-03,1.68
2,2017-09-10,1.59
2,2017-09-17,1.54
2,2017-09-24,1.53
2,2017-10-01,1.62
2,2017-10-08,1.5
2,2017-10-15,1.6
2,2017-10-22,1.64
2,2017-10-29,1.81
2,2017-11-05,1.84
2,2017-11-12,1.81
2,2017-11-19,1.8
2,2017-11-26,1.69
2,2017-12-03,1.58
2,2017-12-10,1.51
2,2017-12-17,1.58
2,2017-12-24,1.56
2,2017-12-31,1.53
2,2018-01-07,1.15
2,2018-01-14,1.39
2,2018-01-21,1.66
2,2018-01-28,1.55
2,2018-02-04,1.59
2,2018-02-11,1.53
2,2018-02-18,1.52
2,2018-02-25,1.47
2,2018-03-04,1.43
2,2018-03-11,1.44
2,2018-03-18,1.41
2,2018-03-25,1.33
3,2017-06-04,1.27
3,2017-06-11,1.27
3,2017-06-18,1.55
3,2017-06-25,2.09
3,2017-07-02,1.92
3,2017-07-09,1.58
3,2017-07-16,2.26
3,2017-07-23,2.23
3,2017-07-30,2.21
3,2017-08-06,2.21
3,2017-08-13,2.32
3,2017-08-20,2.62
3,2017-08-27,2.75
3,2017-09-03,2.71
3,2017-09-10,2.63
3,2017-09-17,2.65
3,2017-09-24,2.64
3,2017-10-01,2.79
3,2017-10-08,2.78
3,2017-10-15,2.62
3,2017-10-22,2.41
3,2017-10-29,2.34
3,2017-11-05,2.33
3,2017-11-12,1.88
3,2017-11-19,1.85
3,2017-11-26,1.47
3,2017-12-03,1.77
3,2017-12-10,1.76
3,2017-12-17,1.79
3,2017-12-24,1.44
3,2017-12-31,1.72
3,2018-01-07,1.77
3,2018-01-14,1.81
3,2018-01-21,1.81
3,2018-01-28,1.78
3,2018-02-04,1.8
3,2018-02-11,1.8
3,2018-02-18,1.82
3,2018-02-25,1.82
3,2018-03-04,1.79
3,2018-03-11,1.8
3,2018-03-18,1.85
3,2018-03-25,1.81
4,2017-06-04,2.04
4,2017-06-11,2.07
4,2017-06-18,2.12
4,2017-06-25,2.13
4,2017-07-02,2.13
4,2017-07-09,2.17
4,2017-07-16,1.61
4,2017-07-23,1.59
4,2017-07-30,1.61
4,2017-08-06,1.61
4,2017-08-13,1.77
4,2017-08-20,1.72
4,2017-08-27,1.75
4,2017-09-03,1.76
4,2017-09-10,1.74
4,2017-09-17,1.56
4,2017-09-24,1.56
4,2017-10-01,1.61
4,2017-10-08,1.56
4,2017-10-15,1.6
4,2017-10-22,1.58
4,2017-10-29,1.83
4,2017-11-05,1.95
4,2017-11-12,1.87
4,2017-11-19,1.81
4,2017-11-26,1.81
4,2017-12-03,1.88
4,2017-12-10,1.74
4,2017-12-17,1.82
4,2017-12-24,1.83
4,2017-12-31,1.86
4,2018-01-07,1.91
4,2018-01-14,1.73
4,2018-01-21,1.82
4,2018-01-28,1.72
4,2018-02-04,1.83
4,2018-02-11,1.85
4,2018-02-18,1.83
4,2018-02-25,1.79
4,2018-03-04,1.92
4,2018-03-11,1.85
4,2018-03-18,1.83
4,2018-03-25,1.74
5,2017-06-04,2.51
5,2017-06-11,2.46
5,2017-06-18,2.54
5,2017-06-25,2.57
5,2017-07-02,2.57
5,2017-07-09,2.55
5,2017-07-16,1.26
5,2017-07-23,1.28
5,2017-07-30,1.44
5,2017-08-06,1.34
5,2017-08-13,1.27
5,2017-08-20,1.46
5,2017-08-27,1.37
5,2017-09-03,1.41
5,2017-09-10,1.8
5,2017-09-17,1.47
5,2017-09-24,1.4
5,2017-10-01,1.39
5,2017-10-08,1.34
5,2017-10-15,1.33
5,2017-10-22,1.35
5,2017-10-29,1.35
5,2017-11-05,1.36
5,2017-11-12,1.39
5,2017-11-19,1.42
5,2017-11-26,1.26
5,2017-12-03,1.18
5,2017-12-10,1.14
5,2017-12-17,1.15
5,2017-12-24,1.15
5,2017-12-31,1.15
5,2018-01-07,1.17
5,2018-01-14,1.19
5,2018-01-21,1.23
5,2018-01-28,1.17
5,2018-02-04,1.18
5,2018-02-11,1.21
5,2018-02-18,1.23
5,2018-02-25,1.27
5,2018-03-04,1.38
5,2018-03-11,1.24
5,2018-03-18,1.17
5,2018-03-25,1.03
6,2017-06-04,1.64
6,2017-06-11,1.79
6,2017-06-18,1.78
6,2017-06-25,1.66
6,2017-07-02,1.73
6,2017-07-09,1.62
6,2017-07-16,2.14
6,2017-07-23,2.17
6,2017-07-30,2.14
6,2017-08-06,2.18
6,2017-08-13,2.21
6,2017-08-20,2.37
6,2017-08-27,2.54
6,2017-09-03,2.09
6,2017-09-10,2.2
6,2017-09-17,2.18
6,2017-09-24,2.05
6,2017-10-01,2.08
6,2017-10-08,2.17
6,2017-10-15,2.1
6,2017-10-22,2.0
6,2017-10-29,2.01
6,2017-11-05,1.76
6,2017-11-12,1.99
6,2017-11-19,1.98
6,2017-11-26,2.0
6,2017-12-03,1.81
6,2017-12-10,1.89
6,2017-12-17,1.75
6,2017-12-24,1.82
6,2017-12-31,1.71
6,2018-01-07,1.95
6,2018-01-14,1.61
6,2018-01-21,1.69
6,2018-01-28,1.87
6,2018-02-04,1.56
6,2018-02-11,1.85
6,2018-02-18,1.97
6,2018-02-25,1.82
6,2018-03-04,1.57
6,2018-03-11,1.58
6,2018-03-18,1.75
6,2018-03-25,1.7
7,2017-06-04,2.47
7,2017-06-11,2.15
7,2017-06-18,2.03
7,2017-06-25,1.99
7,2017-07-02,2.09
7,2017-07-09,2.06
7,2017-07-16,1.99
7,2017-07-23,2.0
7,2017-07-30,2.07
7,2017-08-06,2.36
7,2017-08-13,2.35
7,2017-08-20,2.48
7,2017-08-27,2.83
7,2017-09-03,2.82
7,2017-09-10,2.8
7,2017-09-17,2.77
7,2017-09-24,2.55
7,2017-10-01,2.82
7,2017-10-08,2.67
7,2017-10-15,2.38
7,2017-10-22,2.08
7,2017-10-29,2.02
7,2017-11-05,2.22
7,2017-11-12,2.15
7,2017-11-19,2.13
7,2017-11-26,2.11
7,2017-12-03,1.9
7,2017-12-10,1.91
7,2017-12-17,1.86
7,2017-12-24,1.83
7,2017-12-31,1.71
7,2018-01-07,1.08
7,2018-01-14,1.45
7,2018-01-21,1.62
7,2018-01-28,1.76
7,2018-02-04,1.89
7,2018-02-11,1.92
7,2018-02-18,1.83
7,2018-02-25,1.91
7,2018-03-04,1.88
7,2018-03-11,1.73
7,2018-03-18,1.75
7,2018-03-25,1.77
8,2017-06-04,1.94
8,2017-06-11,1.96
8,2017-06-18,1.98
8,2017-06-25,1.98
8,2017-07-02,1.98
8,2017-07-09,1.99
8,2017-07-16,1.83
8,2017-07-23,1.88
8,2017-07-30,1.9
8,2017-08-06,1.74
8,2017-08-13,1.69
8,2017-08-20,1.71
8,2017-08-27,2.11
8,2017-09-03,2.05
8,2017-09-10,1.96
8,2017-09-17,2.13
8,2017-09-24,1.92
8,2017-10-01,1.84
8,2017-10-08,1.8
8,2017-10-15,1.9
8,2017-10-22,2.1
8,2017-10-29,2.06
8,2017-11-05,1.95
8,2017-11-12,2.06
8,2017-11-19,1.79
8,2017-11-26,1.73
8,2017-12-03,1.75
