region,Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year
0,2015-01-04,1373.95,57.42,153.88,0.0,1162.65,1162.65,0.0,0.0,2015
0,2015-01-11,1182.56,39.0,305.12,0.0,838.44,838.44,0.0,0.0,2015
0,2015-01-18,1118.47,8.02,178.78,0.0,931.67,931.67,0.0,0.0,2015
0,2015-01-25,1115.89,14.87,148.72,0.0,952.3,952.3,0.0,0.0,2015
0,2015-02-01,1228.51,33.12,99.36,0.0,1096.03,1096.03,0.0,0.0,2015
0,2015-02-08,1770.87,27.36,152.74,0.0,1590.77,1590.77,0.0,0.0,2015
0,2015-02-15,1182.3,22.74,83.02,0.0,1076.54,1076.54,0.0,0.0,2015
0,2015-02-22,1152.33,11.34,31.76,0.0,1109.23,1109.23,0.0,0.0,2015
0,2015-03-01,1663.35,32.82,105.25,0.0,1525.28,1525.28,0.0,0.0,2015
0,2015-03-08,1626.32,49.73,331.14,0.0,1245.45,1245.45,0.0,0.0,2015
0,2015-03-15,1473.56,19.18,164.73,0.0,1289.65,1289.65,0.0,0.0,2015
0,2015-03-22,1375.02,40.57,326.78,0.0,1007.67,1007.67,0.0,0.0,2015
0,2015-03-29,1082.44,24.75,173.26,0.0,884.43,884.43,0.0,0.0,2015
0,2015-04-05,1526.1,15.75,202.52,0.0,1307.83,1307.83,0.0,0.0,2015
0,2015-04-12,1634.59,51.75,93.38,0.0,1489.46,1489.46,0.0,0.0,2015
0,2015-04-19,1516.24,18.01,102.45,0.0,1395.78,1395.78,0.0,0.0,2015
0,2015-04-26,929.61,27.01,30.53,0.0,872.07,872.07,0.0,0.0,2015
0,2015-05-03,1798.99,57.93,130.62,0.0,1610.44,1610.44,0.0,0.0,2015
0,2015-05-10,2117.48,46.8,523.9,0.0,1546.78,1546.78,0.0,0.0,2015
0,2015-05-17,1881.08,19.51,213.43,0.0,1648.14,1648.14,0.0,0.0,2015
0,2015-05-24,1628.65,24.09,183.55,0.0,1421.01,1421.01,0.0,0.0,2015
0,2015-05-31,1752.14,82.3,105.49,0.0,1564.35,1564.35,0.0,0.0,2015
0,2015-06-07,1547.03,25.6,125.66,0.0,1395.77,1395.77,0.0,0.0,2015
0,2015-06-14,1542.45,79.45,211.46,0.0,1251.54,1251.54,0.0,0.0,2015
0,2015-06-21,1053.73,17.59,107.87,0.0,928.27,928.27,0.0,0.0,2015
0,2015-06-28,1200.61,22.35,124.7,0.0,1053.56,1053.56,0.0,0.0,2015
0,2015-07-05,1573.19,50.69,183.9,0.0,1338.6,1338.6,0.0,0.0,2015
0,2015-07-12,1175.34,34.27,92.17,0.0,1048.9,1048.9,0.0,0.0,2015
0,2015-07-19,1076.23,50.86,112.36,0.0,913.01,913.01,0.0,0.0,2015
0,2015-07-26,1449.04,99.16,165.27,0.0,1184.61,1184.61,0.0,0.0,2015
