region,Date,AveragePrice
0,2015-01-04,1.79
0,2015-01-11,1.77
0,2015-01-18,1.93
0,2015-01-25,1.89
0,2015-02-01,1.83
0,2015-02-08,1.59
0,2015-02-15,1.81
0,2015-02-22,1.82
0,2015-03-01,1.76
0,2015-03-08,1.79
0,2015-03-15,1.79
0,2015-03-22,1.86
0,2015-03-29,1.93
0,2015-04-05,1.93
0,2015-04-12,1.76
0,2015-04-19,1.96
0,2015-04-26,1.9
0,2015-05-03,2.03
0,2015-05-10,1.98
0,2015-05-17,1.87
0,2015-05-24,1.93
0,2015-05-31,1.9
0,2015-06-07,1.93
0,2015-06-14,2.03
0,2015-06-21,2.09
0,2015-06-28,2.02
0,2015-07-05,2.04
0,2015-07-12,2.01
0,2015-07-19,2.08
0,2015-07-26,2.01
0,2015-08-02,2.0
0,2015-08-09,1.88
0,2015-08-16,2.0
0,2015-08-23,1.87
0,2015-08-30,1.88
0,2015-09-06,1.86
0,2015-09-13,1.99
0,2015-09-20,1.98
0,2015-09-27,1.98
0,2015-10-04,1.98
0,2015-10-11,1.9
0,2015-10-18,1.97
0,2015-10-25,1.83
0,2015-11-01,1.88
0,2015-11-08,1.88
0,2015-11-15,1.89
0,2015-11-22,1.94
0,2015-11-29,1.94
0,2015-12-06,1.84
0,2015-12-13,1.85
0,2015-12-20,1.89
0,2015-12-27,1.83
0,2016-01-03,1.75
0,2016-01-10,1.83
0,2016-01-17,1.67
0,2016-01-24,1.83
0,2016-01-31,1.79
0,2016-02-07,1.81
0,2016-02-14,1.81
0,2016-02-21,1.79
0,2016-02-28,1.79
0,2016-03-06,1.92
0,2016-03-13,1.79
0,2016-03-20,1.76
0,2016-03-27,1.65
0,2016-04-03,1.56
0,2016-04-10,1.62
0,2016-04-17,1.82
0,2016-04-24,1.77
0,2016-05-01,1.78
0,2016-05-08,1.83
0,2016-05-15,1.59
0,2016-05-22,1.55
0,2016-05-29,1.49
0,2016-06-05,1.47
0,2016-06-12,1.43
0,2016-06-19,1.45
0,2016-06-26,1.53
0,2016-07-03,1.43
0,2016-07-10,1.58
0,2016-07-17,1.57
0,2016-07-24,1.42
0,2016-07-31,1.43
0,2016-08-07,1.67
0,2016-08-14,1.72
0,2016-08-21,1.67
0,2016-08-28,1.66
0,2016-09-04,1.73
0,2016-09-11,1.68
0,2016-09-18,1.69
0,2016-09-25,1.68
0,2016-10-02,1.73
0,2016-10-09,1.75
0,2016-10-16,1.75
0,2016-10-23,1.86
0,2016-10-30,1.96
0,2016-11-06,1.93
0,2016-11-13,2.0
0,2016-11-20,1.93
0,2016-11-27,1.97
0,2016-12-04,1.97
0,2016-12-11,1.9
0,2016-12-18,1.86
0,2016-12-25,1.93
0,2017-01-01,1.87
